lsoa,place,distance,area
E01000497,London,9169.03135069121,301899.045905999
E01000498,London,10244.4084000384,284621.746598494
E01000499,London,9916.46479851554,527852.913723005
E01000501,London,9421.37072864999,160477.456808499
E01000502,London,9548.27220854377,376456.965196497
E01000503,London,9015.35207521537,405354.783697
E01000504,London,8163.08334446584,145016.633713004
E01000505,London,8454.67869997405,156507.146201
E01000506,London,9283.82230085627,293841.336100995
E01000507,London,8810.0716908812,231228.069684998
E01000508,London,9181.36341984779,228836.075097005
E01000509,London,10147.3762203681,129759.150455001
E01000510,London,9841.63695718934,175915.395893999
E01000511,London,9575.60383051053,168362.969515003
E01000512,London,9119.55906591031,152124.377212002
E01000513,London,12013.8844079906,167971.0789485
E01000514,London,12253.6362916672,156836.532015002
E01000515,London,12753.1010616165,382164.908850003
E01000516,London,12486.377442322,246008.063079004
E01000517,London,13059.6178143324,229463.669927996
E01000518,London,12076.7352971103,500237.694133004
E01000519,London,12265.611568084,732978.955139
E01000520,London,12785.4067062619,242686.001150495
E01000521,London,9119.18590420599,141005.083710496
E01000522,London,8654.02371700264,143897.642494001
E01000523,London,8743.47355757042,140015.1418245
E01000524,London,8756.01311864946,157521.316752502
E01000525,London,8797.37507780847,156118.174787
E01000526,London,9288.06380493907,138700.699835995
E01000527,London,8984.76544294446,126405.130956001
E01000528,London,9257.99969460989,111167.584679999
E01000530,London,7427.20646364386,175798.8449875
E01000531,London,7228.3196338195,107567.145894001
E01000532,London,6979.91584869963,102699.974566998
E01000533,London,8277.66018546494,186771.008568003
E01000534,London,7791.25157051708,153567.194187998
E01000535,London,7842.40297854384,188043.414998501
E01000536,London,14846.3068453884,333459.597622498
E01000538,London,14245.0993070346,398599.896928001
E01000539,London,13739.3490230811,284367.8806585
E01000540,London,14334.0428184802,375565.169058501
E01000541,London,14677.4506376748,243510.9095815
E01000543,London,13596.396816113,196133.695772998
E01000544,London,5076.07026108077,71982.6144969996
E01000545,London,6242.52511585312,115833.559649497
E01000546,London,6246.65259375034,95025.3300895037
E01000547,London,5948.50266842501,75728.1217450022
E01000548,London,5639.26409396737,108169.970069506
E01000549,London,5700.42721151889,111399.184887493
E01000550,London,5276.02441853396,142403.049968998
E01000551,London,5462.92824153254,136587.774525502
E01000552,London,5124.01556750346,86860.2219020009
E01000553,London,8329.26503141286,142261.900042498
E01000554,London,8622.11876648129,216667.991892999
E01000555,London,8332.08956871955,206893.370873002
E01000556,London,7874.29112556726,97868.1764445025
E01000557,London,7932.07987309622,117215.745219
E01000558,London,7416.76565450962,173694.378019497
E01000559,London,7886.06124084098,114201.310758497
E01000560,London,7482.24725394647,207549.969455001
E01000561,London,6949.90498909493,118108.694927499
E01000562,London,14793.5516490819,312280.350604994
E01000563,London,14519.3512657359,375122.797388003
E01000564,London,13689.0814364126,202702.451074997
E01000565,London,14244.7536364888,185639.569104002
E01000566,London,13890.7923535144,208879.329358999
E01000567,London,14520.1897747844,206196.034343999
E01000568,London,14972.2175768053,805360.607598994
E01000569,London,14278.9035666073,376869.290976498
E01000570,London,12947.9695662816,133383.779784999
E01000571,London,12598.241830651,351769.808936998
E01000572,London,14225.7430884121,215291.398944501
E01000573,London,13574.3587529446,235596.181132001
E01000574,London,13752.5041129093,220387.825274499
E01000575,London,13130.9354036941,269866.109369998
E01000576,London,12741.3274209233,292438.760848502
E01000577,London,13286.1405963069,346000.707267002
E01000578,London,12327.9892447131,330294.146443501
E01000579,London,6533.52119397218,112794.296966999
E01000580,London,6221.36074507054,445455.528965005
E01000581,London,6761.43958098952,165851.300627504
E01000582,London,6380.23292393894,193457.936501496
E01000583,London,5821.02672332905,195272.472180998
E01000584,London,6962.26138500273,125866.0611645
E01000585,London,6769.72198235989,100416.369968501
E01000586,London,6352.89940825419,149488.079688999
E01000587,London,13606.6380737232,198011.236916502
E01000588,London,13124.2446531688,349954.337409998
E01000589,London,13825.4983451534,290834.172477999
E01000590,London,13260.4376802005,267011.673533998
E01000591,London,13425.5596635407,322523.4268785
E01000592,London,13807.4598180992,198004.525749
E01000593,London,13991.6095138091,180763.817488998
E01000594,London,14208.9629665508,242804.550173002
E01000595,London,9577.53403535091,192071.429742504
E01000596,London,9959.79831353635,189730.647385498
