lsoa,ttwa_code,ttwa_name,change_in_id_share_in_ttwa
E01022134,E30000189,Cheltenham,0.0012414032629636772
E01022135,E30000189,Cheltenham,3.9416531881306723e-4
E01022136,E30000189,Cheltenham,-4.445091618045238e-4
E01022137,E30000189,Cheltenham,-0.001940987774502691
E01022138,E30000189,Cheltenham,-9.80986746147031e-5
E01022139,E30000189,Cheltenham,1.2205131148762278e-4
E01022140,E30000189,Cheltenham,-3.0808227201855123e-4
E01022141,E30000189,Cheltenham,-0.0011423640577777217
E01022142,E30000189,Cheltenham,-6.978639041686566e-4
E01022143,E30000189,Cheltenham,7.35335976481366e-4
E01022144,E30000189,Cheltenham,1.680516830707083e-4
E01022145,E30000189,Cheltenham,-6.688296508260269e-4
E01022146,E30000189,Cheltenham,-4.668169755886757e-4
E01022147,E30000189,Cheltenham,0.003901745410080596
E01022148,E30000189,Cheltenham,-0.0019116361177712784
E01022149,E30000189,Cheltenham,-0.0032097694066491687
E01022150,E30000189,Cheltenham,0.0018847313128357492
E01022151,E30000189,Cheltenham,-5.366889636861816e-4
E01022152,E30000189,Cheltenham,-0.016035399629248586
E01022153,E30000189,Cheltenham,0.002798896166186728
E01022154,E30000189,Cheltenham,0.004190970096428642
E01022155,E30000189,Cheltenham,4.6469797477542707e-4
E01022156,E30000189,Cheltenham,0.007214417815211977
E01022157,E30000189,Cheltenham,-0.002034585052445366
E01022158,E30000189,Cheltenham,3.6043145728260374e-4
E01022159,E30000189,Cheltenham,-0.0018272227232731635
E01022160,E30000189,Cheltenham,-0.0043867343200726
E01022161,E30000189,Cheltenham,-5.980226529252643e-4
E01022162,E30000189,Cheltenham,0.0023767035180019503
E01022163,E30000189,Cheltenham,-0.0020390335688753427
E01022164,E30000189,Cheltenham,-0.0018847870153753561
E01022165,E30000189,Cheltenham,0.0010610244155751488
E01022166,E30000189,Cheltenham,0.0010294543833082575
E01022167,E30000189,Cheltenham,-2.627755074922017e-4
E01022168,E30000189,Cheltenham,-7.064232188003579e-4
E01022169,E30000189,Cheltenham,1.1292603404867638e-4
E01022170,E30000189,Cheltenham,-3.4939700361158194e-4
E01022171,E30000189,Cheltenham,8.604052396698314e-4
E01022172,E30000189,Cheltenham,-0.0014960854156890425
E01022173,E30000189,Cheltenham,0.002264945941125876
E01022174,E30000189,Cheltenham,0.0016355601001824403
E01022175,E30000276,Swindon,-9.629455348654512e-4
E01022176,E30000276,Swindon,-7.807733989493278e-4
E01022177,E30000205,Evesham,-0.005659674721789992
E01022178,E30000205,Evesham,-0.0012110730831159586
E01022179,E30000205,Evesham,-0.003097859698985121
E01022180,E30000205,Evesham,-0.0037235608157183235
E01022181,E30000205,Evesham,9.90902839662319e-4
E01022182,E30000205,Evesham,0.002477499689795916
E01022183,E30000205,Evesham,-0.004359161381820777
E01022184,E30000205,Evesham,-0.003223570203200474
E01022185,E30000228,Leamington Spa,4.7473053114125644e-4
E01022186,E30000189,Cheltenham,7.756328295368082e-4
E01022187,E30000189,Cheltenham,9.644449577152041e-4
E01022188,E30000276,Swindon,6.920690277424733e-4
E01022189,E30000276,Swindon,-1.1731552768598323e-4
E01022190,E30000276,Swindon,-0.0014156670525790624
E01022191,E30000276,Swindon,-0.0011372831136683011
E01022192,E30000276,Swindon,-0.0018209078092868702
E01022193,E30000276,Swindon,-7.127285566358326e-4
E01022194,E30000276,Swindon,-2.999442059831922e-4
E01022195,E30000276,Swindon,-7.438706167282303e-4
