dz_2011,year,pop_total,pop_workingage,pop_incomedeprived,simd_score
S01006609,2012,981.583333333333,577.833333333333,112.5,19.5425337315641
S01006610,2004,668.714285714286,337.285714285714,131.285714285714,25.1285026984286
S01006610,2006,633,327.857142857143,114.142857142857,24.7229413222857
S01006610,2009,615.428571428571,337.428571428571,112.857142857143,26.0951709263585
S01006610,2012,605.571428571429,346.285714285714,99.2857142857143,24.3541502729605
S01006611,2004,883.727272727273,464.545454545455,144.636363636364,22.311306481
S01006611,2006,849.363636363636,465.363636363636,128.363636363636,23.7831708866364
S01006611,2009,795.909090909091,448.363636363636,116.818181818182,23.1143457947069
S01006611,2012,783.363636363636,483.181818181818,115.909090909091,24.6932128978413
S01006612,2004,869.555555555556,516.222222222222,83.3333333333333,13.4922544585556
S01006612,2006,914.111111111111,555.555555555556,73.4444444444444,16.0171088864444
S01006612,2009,855.888888888889,530.777777777778,71.6666666666667,14.2454359321011
S01006612,2012,840.444444444444,552.555555555556,70,15.6441329799199
S01006613,2004,641,460,13,5.3450363786
S01006613,2006,647,452,10,4.9739951175
S01006613,2009,640,468,10,4.7699056314854
S01006613,2012,621,453,5,4.40442154511145
S01006614,2004,704.5,508,15.5,4.48754140075
S01006614,2006,692.333333333333,497.666666666667,13,5.38472587996667
S01006614,2009,667.333333333333,475.833333333333,10,4.42363749838237
S01006614,2012,677.333333333333,470.5,6.66666666666667,3.90574430167189
S01006615,2004,868.5,585.75,30,7.7352316909
S01006615,2006,891.75,581.75,21,8.3103511518
S01006615,2009,1221,802.5,47.5,8.24959522635347
S01006615,2012,1425,922.25,46.25,7.32024948210103
S01006616,2004,816.666666666667,548.833333333333,26.6666666666667,5.54666625336667
S01006616,2006,777.166666666667,554.333333333333,17.6666666666667,6.14992864675
S01006616,2009,799.5,574.333333333333,16.6666666666667,5.48141611823419
